type	scope	path	kind	size_bytes	sha256	git_object	text_searchable
Batch	CORE	scripts/automation/force_release_debug_port.bat	file	628	7a272e906a0b8168d465ce772f0923a48ad5a10a0dc22a138fc1f531a927142b	d9a37bace4dc52113e0b9a0ab9cede6bc6c34c54	1
Batch	CORE	scripts/automation/goto_project.bat	file	975	e91032fa30f9afeebf599217f3af41b2dc11a7b20bd053075d9f4d172027fcc1	125f41c581f8ffebff77df813cd367e6ad99b7fe	1
Batch	CORE	scripts/automation/port_status_helper.bat	file	2223	82e34ee1a5645ab15865848cb1a31994e2b45ac1b9e31c54a01ffdd00c2701e4	ac334cd92af89cc94ed78176bbe6d415c2dba3a9	1
Batch	CORE	scripts/automation/process_real_documents.bat	file	877	e8222975cdf504873a6bc8c4bace460b0ae3cd1fd275184cde22d05f7d3f5147	12ae230064f010f19e47c2a7eab5e30fa3005425	1
Batch	CORE	scripts/automation/process_your_real_docs.bat	file	929	74dd52cfa8dbeb18ce77e222d07f5ec779fa9bbd5b5323d5a07231c228144c9d	05fd8e5a7b2d6ba92e727a2d515922217150289d	1
Batch	CORE	scripts/automation/rtm_commands.bat	file	1043	f01776fbc3502ae013153e5164faba1357ff1641e23941677b1f5d6cc33ecfae	2a14fbfe497b1723322eb2855e40826092517412	1
Batch	CORE	scripts/automation/run_debug_tests.bat	file	1357	880678605ecca71c7c568e0ab37ec49eab3939df26a4ca471bc31818e18e63db	fe616b44b39019b3917884d329ec9d9543f31611	1
Batch	CORE	scripts/automation/run_rtm.bat	file	1536	14055adb474f79508881e61513df8bd06b050844ce40498f961216d4baeaaf81	ba8bf244bd7b3623a61ed6f9dc56edd539de3169	1
Batch	CORE	scripts/automation/run_rtm_pipeline.bat	file	635	2c698121ea5ab102d523e5981f5ac97e4eb6c4315bc2957e13516605bef190ab	05591a3509f90c6aac3df6e90419c461b630a119	1
Batch	CORE	scripts/automation/run_tests.bat	file	878	a9e98aa38b2ffa76364830e89e39032db11dab04d8efd411ebe97d285f7a45ad	ad115129951cf40ae10b4915735fedc6e129613b	1
Batch	CORE	scripts/automation/simple_menu.bat	file	1425	6dc6251b3c22997f50d34448e78d6c7fce0127f4506114a2bcad9ab3b4c30b6d	a602bae213a6f25893385e010b906412a6a76f86	1
Batch	CORE	scripts/automation/start_here.bat	file	1772	c74855b872656d8e5be82ad42af9ef5b56fe09c5acd7be9597809c356700c84f	4484bd28e5f722c89426b55606caf6d13f6b91fb	1
Batch	CORE	scripts/automation/start_using_rtm.bat	file	986	bdf91533bef06b7c61d900a8e79dfcb2f782a932e8b567148f4c49fc82f098e7	4e51c0c5085a136e365fe2178c1ddddecafdd29a	1
Batch	CORE	scripts/automation/test_all_features.bat	file	990	8fd822e832094b21632dd4f08a8a076f5e8bb3d96940b56ee16a3252b3de8f6d	a2fbcff04cf1fc3440c7d765dd2e7e68f4f4f84f	1
Batch	CORE	scripts/automation/to_project.bat	file	394	18b193a7636326acbd3bc4b16d7646188188a20234fd8a1363492be8393685b4	f6c171ee4d0de83ba48967d962842ef86362a3d8	1
Batch	CORE	scripts/automation/tools_menu.bat	file	1014	3f49c61640b0c4fed40004f731f34c29046651485f36dc248d7724dd777e923b	1dc9c31955494f3ddccce954bb190a59c11fecbe	1
Batch	CORE	scripts/automation/touch.bat	file	274	01c88908e4c744232a8b372d12f8f5a98f68951b841c043cebacaf283680b7c1	d1ca0faffc0193b7225a80b1d9ee37890be10ec5	1
Batch	CORE	scripts/pandoc_convert.bat	file	9437	0fd02887c269de9ec8ff2e8afa3b1ffc4d747d113702d72ae0f803a17e1b531e	2ff788c62ac4766aac50af0ab5722427f11ed1ec	1
Batch	CORE	scripts/quality/fix_style_issues.bat	file	803	ed0366c3ba09056b03e0108047e599b5c12452fcbc69a9281ccf3a2ed88d5c68	cd761f8629fa2d5826652782aad447a300bebb7a	1
Batch	CORE	scripts/run_conversion.bat	file	81	84ad9038645d7b3b2192c9a9fc00f03c131812f51b89fa0738269fc23889cd65	925e574e17ad89ca3913ac07f229b098f05c2551	1
Batch	CORE	scripts/setup/install_dependencies.bat	file	1176	3b902e4c91a8cd5b6de062159108ba3fc603b5c3ab099f72304c2465797153a6	b753ca23a29cf4bd4bd27718463aa6642c8bdef4	1
Batch	CORE	scripts/setup/install_git_hooks.bat	file	573	63ce3bfbcf36038a96c17feb052bd32f7a9624665cc95ea8664402458589961d	0581725fccef9b76b84bf6664f2d231f941ab759	1
Batch	CORE	scripts/setup/install_simple_hook.bat	file	2057	35ef76c63e0c0a0d3265006de9c209bb452594bc622e1f505d8a131844ffc2b1	6cdb10ffdec9623dcdcfc9d35db9b1c8bb9decfb	1
Batch	CORE	scripts/setup/setup_git_hooks.bat	file	2689	168894f8c07fd5936f78a9cdb6b6960e87ba4ef71fa083531af1555193d43511	882e66ce99ab0cb9771c79d4f36d26050e72dec3	1
Batch	CORE	show_outputs.bat	file	590	27b3bb5d8ac9f8f5ec709f086de6cdb1c2eeb846804c9e818b87a5c88644c9e4	cc9b36df7fa0f0bc45a54ede92cba5e3694d1669	1
Batch	CORE	src/integrations/fix_precommit_cache.bat	file	3712	1d6bc2176f4982b3cfa8895b9e82dbbc54b53e127528993aa0bb98b85a1808e4	ab40295067ae99aa36af50981a7f640f1b5a1ec4	1
BROKEN	CORE	config/paths.yaml.broken	file	5433	e399791186259cd221f77afa7d774df838b0eb03aa185a2e927be764e0723247	dd406cc1789a2643271521eb914f97b600a3cce6	0
CODE-WORKSPACE	CORE	all_tools.bat.code-workspace	file	312	3d421e25cea50f73164bb599c101439bb7e39a8a63bb355f4b01c44566759f23	1f0a885bc190e3e37098bde101024655f6abe559	0
Config	CORE	setup.cfg	file	259	7515dbf6ba7c8dc213567590a6aad7ad70302fef450adf4aa989792e8786d529	7c50081c0fb804330f844437966ff3c8b059b59a	1
CSV	CORE	processed_data/rtm_requirements.csv	file	299392	8c86ab09fc1bea5f46cf99c65d54ebaf5c1640e42c9d313d6d7fd30a8546b0df	84b453b311c3bd882d45996e519fce62934d283f	1
CSV	CORE	requirements/SoR_Requirements_Matrix.csv	file	1016	fac335bc2715e9d1eacec0a2139b0259a7e054542d032a69923405f4f2735669	a1a5b859974f60911bc13233a110e271d6de80d3	1
DOCX	CORE	addenda/Addendum_II_Cryoplant_Technical_Requirements.docx	file	2660132	69ccc551b8f85b7af08ce8d8a47537cb0d92104a23fd222415e40d25fca5233f	f00727a5d63fbc32fca30cde98a405012484b085	0
DOCX	CORE	addenda/Addendum_II_Cryoplant_Technical_Requirements_1212_1521.docx	file	2953467	38182c36451c820fb940e9d2bcee168fd36af2bd72d4d029723d8a41ab544fc9	e354411f025997967e0bf8aabf196e43c0a25e04	0
DOCX	CORE	addenda/QPS_Addendum_II_Master.docx	file	5063178	ac6627f0a6cbe8c020941686cad249619184d8071a9efca721d0c960d41d63c9	d95e6a15e28e0bf9e810e434b79b62e396511aaf	0
DOCX	CORE	addenda/Technical_Addendum_Reliability_centred.docx	file	29607	cd783e974c84f27067de03aad531ea7238fb6abe466d0b60f7f474099293b540	d5a73b524489022165ac6b095082c1afc52de3ad	0
DOCX	CORE	data/input/sample_document.docx	file	37200	fc44a0af450bf173b4d9e917fb3efc00175f67c9d8123e43fd75f5f126f86cc2	e88f2c9503d434fc1149646507a2a5339613d260	0
DOCX	CORE	input/docx/MASTER_1805_1144.docx	file	3566666	7f5b843881bfed4e5543d140ce34da11992f48e2a7d517c1d9d11db501071672	cb030b818586b8bc1a43a435c46be5660c8b4a91	0
DOCX	CORE	input/MASTER_1805_1144.docx	file	3566666	7f5b843881bfed4e5543d140ce34da11992f48e2a7d517c1d9d11db501071672	cb030b818586b8bc1a43a435c46be5660c8b4a91	0
DOCX	CORE	input/requirements.docx	file	36839	8c252b25f79d68b6c57a52908a0278a43a987d8c02007016f9a7e78472ca0d37	88f1da5304ce63493b6aaae08fd38994ccc6cd23	0
